#parent	child	edge_length
ko04131	K00844	0.20849575211741872
ko04131	K15044	0.19531650557465446
ko03000	K09230	0.13015280151116512
ko03000	K22107	0.1998852262978248
ko03200	K23454	0.3754913497654156
ko03200	K21859	0.6212040688255508
ko03200	K24579	0.6220575335804552
ko03200	K21042	0.6393847506146826
00860 Porphyrin metabolism	K22465	0.37552309852218657
00860 Porphyrin metabolism	K04036	0.3291979793646196
ko01004	K21059	0.4195973339307675
ko01004	K11628	0.26868453965894623
ko00199	K20559	0.6811361762542754
ko00199	K21693	0.443811880856609
ko01007	K00835	0.24362636635798204
ko01007	K14270	0.2859373522148088
99980 Enzymes with EC numbers	K22442	0.40531412420272867
99980 Enzymes with EC numbers	K19706	0.2974030215527636
ko03000	K02081	0.1679448993527035
ko03000	K09366	0.2499901273224773
ko03400	K01520	0.1558895021066429
ko03400	K03046	0.10374612644229453
ko01005	K23072	0.6565194908653658
ko01005	K23191	0.6302566215188758
ko03036	K16539	0.20399404063440568
ko03036	K10727	0.14327320611758504
00230 Purine metabolism	K01486	0.12258148728685075
00230 Purine metabolism	K03816	0.23873238004666622
ko04121	K25215	0.2558744984616016
ko04121	K12177	0.19595717296604917
99988 Secondary metabolism	K22731	0.4340150863466791
99988 Secondary metabolism	K21446	0.6255278574580188
ko01009	K17556	0.393474008304115
ko01009	K17623	0.20748308666938484
00100 Steroid biosynthesis	K00213	0.22845566962012231
00100 Steroid biosynthesis	K09827	0.2587669358979934
00310 Lysine degradation	K18012	0.2749983061183822
00310 Lysine degradation	K15737	0.3601580166792071
ko01008	K13234	0.6556776156477274
ko01008	K25845	0.36748068836104414
ko01008	K25233	0.39506355195224535
ko01008	K12242	0.2510771037666802
05207 Chemical carcinogenesis - receptor activation	K25040	0.22061705973696083
05207 Chemical carcinogenesis - receptor activation	K25041	0.255261381844651
04214 Apoptosis - fly	K16686	0.23940563988575242
04214 Apoptosis - fly	K20019	0.47282768816124965
ko00199	K00488	0.20877845043795903
ko00199	K14366	0.4053332041465935
ko04147	K17306	0.27891855920071457
ko04147	K03990	0.16559854841904553
ko03210	K24324	0.3683110664276774
ko03210	K22777	0.36034772845990387
00254 Aflatoxin biosynthesis	K17646	0.349914057513578
00254 Aflatoxin biosynthesis	K24857	0.37384110117406955
ko04090	K06503	0.20953502515626338
ko04090	K06554	0.35703745055505853
00190 Oxidative phosphorylation	K02118	0.19870648918366102
00190 Oxidative phosphorylation	K00330	0.19348336770357843
ko01011	K01924	0.10716647889712244
ko01011	K04478	0.36202064222935126
ko01005	K12981	0.43655593464825815
ko01005	K00979	0.1435163368787315
00941 Flavonoid biosynthesis	K00588	0.17535426276389887
00941 Flavonoid biosynthesis	K05277	0.2905783561396191
00053 Ascorbate and aldarate metabolism	K01683	0.3686697110654498
00053 Ascorbate and aldarate metabolism	K20023	0.2860306554683923
ko03011	K17440	0.31525431235369167
ko03011	K02988	0.13757248265822056
ko02035	K18475	0.21046545182861312
ko02035	K07346	0.16260264549517037
ko02044	K12509	0.4570234237348983
ko02044	K02252	0.7204014656917787
ko03036	K11278	0.31740736339432507
ko03036	K11402	0.34222095323139096
ko04030	K08430	0.27334066383726974
ko04030	K04290	0.2843111523303209
99980 Enzymes with EC numbers	K10855	0.2810917603345529
99980 Enzymes with EC numbers	K20238	0.2699668832017111
ko02000	K22190	0.1776462993701284
ko02000	K08163	0.32985804614321274
ko03200	K21808	0.34437760199356554
ko03200	K25071	0.40791872572703236
99997 Function unknown	K09918	0.30143770351941296
99997 Function unknown	K06924	0.4060771918963912
00625 Chloroalkane and chloroalkene degradation	K22354	0.6119818426967882
00625 Chloroalkane and chloroalkene degradation	K14029	0.3651724422468881
ko03036	K11422	0.13309223037055054
ko03036	K11510	0.3369309962863673
