#parent	child	edge_length
ko04131	K00844	0.14914625834121747
ko04131	K20366	0.23532904105227953
00680 Methane metabolism	K13831	0.26980980881444055
00680 Methane metabolism	K05884	0.22911464437229778
ko04990	K24067	0.39965845512846493
ko04990	K04350	0.25015267683760084
ko01504	K06880	0.1638009144412855
ko01504	K07660	0.2270843120484752
99980 Enzymes with EC numbers	K18847	0.41686485260575934
99980 Enzymes with EC numbers	K19176	0.1616758262932013
00053 Ascorbate and aldarate metabolism	K03476	0.3257296171177988
00053 Ascorbate and aldarate metabolism	K14259	0.23451928946869147
ko01008	K05553	0.2729297919647472
ko01008	K16391	0.28026318113890647
ko03037	K25637	0.3762643269767928
ko03037	K16749	0.21848228069596126
ko04812	K07610	0.25802505545522453
ko04812	K24186	0.18103716600032796
00380 Tryptophan metabolism	K22417	0.43184502707759764
00380 Tryptophan metabolism	K15067	0.3422353191436642
ko03019	K24975	0.33343886719056004
ko03019	K23799	0.4688821251929363
ko04990	K24758	0.19383116834005182
ko04990	K23772	0.4106316766635401
99980 Enzymes with EC numbers	K00504	0.2987709226553752
99980 Enzymes with EC numbers	K24666	0.3818516678005606
00650 Butanoate metabolism	K05973	0.17315277832633277
00650 Butanoate metabolism	K18224	0.32811490587224
ko03000	K10973	0.45858149531553183
ko03000	K20325	0.7492414013793055
99997 Function unknown	K09991	0.23481386768256649
99997 Function unknown	K09894	0.285527675893309
99980 Enzymes with EC numbers	K16908	0.3645660413255436
99980 Enzymes with EC numbers	K15522	0.3656610087355425
99997 Function unknown	K06956	0.1837949551772704
99997 Function unknown	K09923	0.3406004855348955
00440 Phosphonate and phosphinate metabolism	K00967	0.19958797452848626
00440 Phosphonate and phosphinate metabolism	K00206	0.2793320259349316
ko04990	K06086	0.14549409167495408
ko04990	K24720	0.17704340688796552
ko04147	K17094	0.2778100531382329
ko04147	K01415	0.1318343097647716
ko04031	K07879	0.36688243936084786
ko04031	K07899	0.2802977946194672
ko04121	K09613	0.23228523883100508
ko04121	K10330	0.3445430658932775
ko04812	K04706	0.15538421906402705
ko04812	K05740	0.1946431308907027
ko01504	K18143	0.22410099454086935
ko01504	K19319	0.6853454823563614
ko01008	K21172	0.34831344339519626
ko01008	K16123	0.2727998495139692
ko04131	K13504	0.31310248641349864
ko04131	K09585	0.23904633751036158
ko03000	K22495	0.29095745003765433
ko03000	K09086	0.23938610423609208
ko03032	K18882	0.2139819056696578
ko03032	K10763	0.19928286004066018
00460 Cyanoamino acid metabolism	K20802	0.6618670627403516
00460 Cyanoamino acid metabolism	K13034	0.32882524922288314
ko03400	K03573	0.2551007889072541
ko03400	K02469	0.09719007316341984
00623 Toluene degradation	K01061	0.12232291058271078
00623 Toluene degradation	K07543	0.36261091237272347
ko01008	K15313	0.2817676374927372
ko01008	K12442	0.22668593846453805
ko03032	K23312	0.25799161830459794
ko03032	K11119	0.8001611745358462
ko03200	K21051	0.626592532175928
ko03200	K23069	0.6281289672091686
ko02035	K02383	0.3390843724884455
ko02035	K06603	0.1847208441501821
00562 Inositol phosphate metabolism	K22233	0.45558006707430354
00562 Inositol phosphate metabolism	K22231	0.5232430833924
ko02022	K07715	0.20218242294043567
ko02022	K07776	0.2057157585432472
ko04031	K07962	0.20106287127188316
ko04031	K07904	0.18068257475064062
ko03400	K05982	0.1892188575538247
ko03400	K15502	0.2242047429052544
99980 Enzymes with EC numbers	K21933	0.7047688925291605
99980 Enzymes with EC numbers	K23156	0.19552849823271365
ko04131	K21845	0.22595372879038383
ko04131	K20190	0.1768246279646879
ko03200	K26034	0.6389781049429584
ko03200	K19248	0.2979924288847329
04722 Neurotrophin signaling pathway	K12465	0.49654540173465184
04722 Neurotrophin signaling pathway	K12459	0.17821017952408058
ko03009	K14823	0.1940302238350289
ko03009	K14813	0.3604964118566352
ko02000	K14994	0.2096456921682708
ko02000	K15115	0.18576631212284792
ko04990	K23728	0.1826269412249616
ko04990	K23861	0.2337066655436943
04713 Circadian entrainment	K12318	0.2017178115092958
04713 Circadian entrainment	K12319	0.17574388877724245
ko03110	K12738	0.7818104214293179
ko03110	K04798	0.23716828472379958
ko03021	K03088	0.11148715806734032
ko03021	K03136	0.16817070445037927
05016 Huntington disease	K05625	0.1154690065707572
00902 Monoterpenoid biosynthesis	K15091	0.6022662811065793
00902 Monoterpenoid biosynthesis	K20142	0.6008308618139654
ko01003	K10999	0.18954461697340455
ko01003	K20870	0.30705644959451467
04936 Alcoholic liver disease	K08750	0.36467270955188896
04936 Alcoholic liver disease	K05403	0.2983198552193789
ko02000	K08284	0.2433920797599142
ko02000	K06074	0.2657075541349711
ko01004	K23617	0.1773271356707115
ko01004	K21059	0.43382763222329407
ko02035	K02283	0.10785031697832399
ko02035	K02389	0.12802558120584343
ko03036	K11572	0.3266776558030983
ko03036	K11724	0.21044944573524318
ko01008	K12240	0.14240565163661625
ko01008	K16007	0.31138945931245676
ko04131	K00889	0.12212528379757355
ko04131	K20053	0.2073559012273404
ko03009	K14574	0.21101712717562815
ko03009	K14772	0.10843982088719795
00480 Glutathione metabolism	K00033	0.1224770768291789
00480 Glutathione metabolism	K00032	0.33091506848561464
ko04121	K18342	0.18418251889042989
ko04121	K10665	0.2599301909695577
ko03051	K11885	0.16592793814183726
ko03051	K02736	0.24580231827239118
ko04131	K08853	0.13504071274528795
ko04131	K20160	0.15247198542127466
ko01003	K13656	0.34800830247213144
ko01003	K21371	0.5202521437463284
00760 Nicotinate and nicotinamide metabolism	K20446	0.47897097461743804
00760 Nicotinate and nicotinamide metabolism	K20450	0.4423024450281276
ko04090	K05164	0.20338054399666336
ko04090	K06458	0.26707600982258783
ko02022	K11330	0.48798000483824056
ko02022	K07698	0.2504864117681704
04360 Axon guidance	K06820	0.13642369918877256
04360 Axon guidance	K07524	0.2184537481941488
ko03200	K25971	0.45075520384838247
ko03200	K21501	0.2886297747949547
ko01011	K07259	0.1071351693921885
ko01011	K05365	0.14962685444766755
00362 Benzoate degradation	K20942	0.30163783073873346
00362 Benzoate degradation	K15511	0.281829592146475
00030 Pentose phosphate pathway	K17468	0.25612561767238645
00030 Pentose phosphate pathway	K21840	0.578862015499126
00670 One carbon pool by folate	K13403	0.2652275392377463
00670 One carbon pool by folate	K13998	0.2832305652296464
05150 Staphylococcus aureus infection	K14196	0.36561365707270027
05150 Staphylococcus aureus infection	K05230	0.309529195586103
ko01006	K14066	0.2880764429281742
ko01006	K14133	0.4890615351156063
ko03000	K24875	0.19944488320907028
ko03000	K09329	0.26594559148366154
ko03029	K14741	0.5590500342942021
ko03029	K17765	0.2645947572851193
99995 Signaling proteins	K18047	0.2627206681985973
99995 Signaling proteins	K25454	0.32197081221491103
ko04990	K04530	0.20268252591861413
ko04990	K24836	0.3886842337145267
ko03000	K24898	0.2950381989569994
ko03000	K09210	0.19529772878225682
99997 Function unknown	K09938	0.17318488676047358
99997 Function unknown	K09718	0.3981492326112957
99976 Replication and repair	K07485	0.1518328634546361
99976 Replication and repair	K07497	0.11098251087536021
ko04091	K24330	0.4178213490732518
ko04091	K10077	0.25132729374329865
ko04090	K06582	0.24715931505149466
ko04090	K05089	0.2117236820362951
99980 Enzymes with EC numbers	K25600	0.6897271574760834
99980 Enzymes with EC numbers	K20849	0.7140592352281048
ko02035	K02418	0.14524472491858353
ko02035	K05875	0.20636563331123456
ko04990	K24754	0.26724377176215247
ko04990	K24068	0.19495787568021025
00350 Tyrosine metabolism	K23492	0.36690223916950665
00350 Tyrosine metabolism	K00483	0.17930974224467527
00930 Caprolactam degradation	K14731	0.13686619107034287
00930 Caprolactam degradation	K01471	0.7422645360035149
ko04090	K04180	0.28561584989853717
ko04090	K06552	0.3072108621527717
ko03009	K24971	0.13748389902888464
ko03009	K14798	0.1775115455051065
99982 Energy metabolism	K00947	0.2996544694908
99982 Energy metabolism	K02570	0.2337036453848467
ko02048	K19125	0.200716836655004
ko02048	K05839	0.4277148674696075
ko02000	K25503	0.32940355813647265
ko02000	K13878	0.24924660137783092
ko03036	K16466	0.31095826119616266
ko03036	K24865	0.28146171785950075
ko03400	K10612	0.290658460903413
ko03400	K10868	0.33401547008606014
ko01008	K16109	0.3934367805929563
ko01008	K16417	0.23034928066947097
ko03110	K25366	0.27525173915332335
ko03110	K03671	0.11411801998301993
00680 Methane metabolism	K11781	0.22082361556264318
00680 Methane metabolism	K08094	0.19136232263077171
00600 Sphingolipid metabolism	K12352	0.24119544539464813
00600 Sphingolipid metabolism	K23451	0.2497666870828068
99978 Cell growth	K06343	0.44287944805548674
99978 Cell growth	K06407	0.25923887684763836
00965 Betalain biosynthesis	K15776	0.38471918140972133
00965 Betalain biosynthesis	K15774	0.3311105203194181
