#parent	child	edge_length
root	1	0.6722731126624492
root	2	0.4262055752059819
root	3	0.827205009915893
root	5	0.9999999999999999
1	6	0.9999999999999999
1	7	0.9999999999999999
1	8	0.7799691768074387
1	9	0.9999999999999999
1	10	0.9099772790127102
2	11	0.9999999999999999
2	12	0.5530272044428207
2	13	0.8639613870878068
2	14	0.9999999999999999
2	15	0.9999999999999999
3	16	0.9999999999999999
3	17	0.9999999999999999
3	18	0.9976056034229903
3	19	0.9630439067851986
3	20	0.9999999999999999
5	26	0.6559670371816838
5	27	0.9999999999999999
5	28	0.9999999987258102
5	29	0.9999999999999999
5	30	0.9999999999999999
6	31	0.9999999999999999
6	32	0.9999999999999999
6	33	0.9999999999999999
6	34	0.6160429225786417
6	35	0.7013063665421535
7	36	0.9999999999999999
7	37	0.9999999999999999
7	38	0.9670610805332808
7	39	0.9999999999999999
7	40	0.3646176377817854
8	41	0.39120571597937187
8	42	0.8596374927399063
8	43	0.7636684559224919
8	44	0.9999999999999999
8	45	0.8498946555825311
9	46	0.9999999999999999
9	47	0.9999999999999999
9	48	0.9999999999999999
9	49	0.9999999999999999
9	50	0.9999999999999999
10	51	0.9999999999999999
10	52	0.7971925018071818
10	53	0.7704287773787734
10	54	0.9999999999999999
10	55	0.7608679327152641
11	56	0.7639573472532266
11	57	0.279454158108038
11	58	0.9999999999999999
11	59	0.9999999999999999
11	60	0.525018144520538
12	61	0.9479661105159831
12	62	0.9999999999999999
12	63	0.9999999999999999
12	64	0.9999999999999999
12	65	0.9999999999999999
13	66	0.9299422819322357
13	67	0.9999999999999999
13	68	0.9999999999999999
13	69	0.5436598401361536
13	70	0.3779810815025923
14	71	0.9999999999999999
14	72	0.9999999999999999
14	73	0.9999999999999999
14	74	0.9999999999999999
14	75	0.9999999999999999
15	76	0.7564537476560357
15	77	0.9999999999999999
15	78	0.9540121049198926
15	79	0.9999999999999999
15	80	0.9999999999999999
16	81	0.3473823944776979
16	82	0.17395505596867464
16	83	0.9999999999999999
16	84	0.9999999999999999
16	85	0.5383932659874849
17	86	0.607253417232525
17	87	0.6069899309913431
17	88	0.9999999999999999
17	89	0.45182756815060077
17	90	0.9999999999999999
18	91	0.6103260881941861
18	92	0.3952893088243863
18	93	0.6465963138635786
18	94	0.9999999999999999
18	95	0.9999999999999999
19	96	0.8207733984533992
19	97	0.5480116248761118
19	98	0.9999999999999999
19	99	0.7135551889885209
