#parent	child	edge_length
root	1	0.3375938161470753
root	2	0.2888680505948721
root	3	0.7887032803237324
root	5	0.7836610283428767
1	6	0.8227805521966538
1	7	0.6495487734633255
1	8	0.6673857125819894
1	9	0.9691396365191692
1	10	0.5688796532672797
2	11	0.8205476405282213
2	12	0.11402932968732238
2	13	0.3467152240141138
2	14	0.7079852960311223
2	15	0.381787408549636
3	16	0.3921792217756447
3	17	0.43342430215737937
3	18	0.49886331776256354
3	19	0.30162516643937587
3	20	0.25427405553430127
5	26	0.08400860235929497
5	27	0.14405406146074795
5	28	0.4964998714687725
5	29	0.5129323486845977
5	30	0.20545936922186014
6	31	0.8352336755518641
6	32	0.64889723780579
6	33	0.8128887397114771
6	34	0.26232275551856454
6	35	0.3085173404269622
7	36	0.997511260868022
7	37	0.8527946240081054
7	38	0.7266514388217342
7	39	0.6985098917251448
7	40	0.11555541947947368
8	41	0.17792118501244925
8	42	0.19283740562922613
8	43	0.3946848466855766
8	44	0.30926116148917937
8	45	0.21768789292521895
9	46	0.08921096582065247
9	47	0.5636004770563129
9	48	0.6117806450031132
9	49	0.9887276409642818
9	50	0.4330142467806303
10	51	0.9107838393998381
10	52	0.007510080384858675
10	53	0.2791678141905708
10	54	0.6798155627390086
10	55	0.10975602604249557
11	56	0.025218746086286825
11	57	0.12571660675777518
11	58	0.9841685845501856
11	59	0.6629412382668781
11	60	0.04109202070568707
12	61	0.44620288772047556
12	62	0.9154900572113854
12	63	0.3654287050566486
12	64	0.9176602840678268
12	65	0.5661311403750742
13	66	0.6620292405532362
13	67	0.7297116728083898
13	68	0.7769750105654131
13	69	0.6249869851874297
13	70	0.30982467420826865
14	71	0.8789214948607652
14	72	0.5154764562944018
14	73	0.7282531686413336
14	74	0.3855707310601322
14	75	0.09739699006648062
15	76	0.7324870754617253
15	77	0.9774169681746798
15	78	0.922412943823639
15	79	0.9008881329268968
15	80	0.7047894369434345
16	81	0.09714196557432953
16	82	0.11793730621783827
16	83	0.8934442516935356
16	84	0.2572695115934689
16	85	0.41847270046129303
17	86	0.2770003540964803
17	87	0.3780358962167987
17	88	0.8641874629966069
17	89	0.1603591025730482
17	90	0.9927028138134538
18	91	0.6309835059488743
18	92	0.339435671274269
18	93	0.5549458199497451
18	94	0.9144830660608313
18	95	0.9368688110459324
19	96	0.6322925563959535
19	97	0.5191671466740768
19	98	0.9369125789771228
19	99	0.5899610537647966
